id,Completed,Last page seen,Start language,Token,Date last action,Date started,IP address,DemP,DemR,RID,Weight,Weight2,Mobile device,Tablet device,SGENDER,IBIRTHYEAR,IAGEGROUPSET1,IAGEGROUPSET2,IAGEGROUPSET3,IAGEGROUPSET4,IAGEGROUPSET5,DemPC,COUNTRY,RESPONDENT,Q4 [1],Q4 [2],Q4 [3],Q4 [4],Q4 [5],Q4 [6],Q4 [7],Q4 [8],Q4 [9],Q4 [10],Q20x1 [1],Q20x1 [2],Q20x1 [3],Q20x2 [1],Q20x2 [2],Q20x2 [3],Q20x3 [1],Q20x3 [2],Q20x3 [3],Q20x4 [1],Q20x4 [2],Q20x4 [3],Q24,Q25
19,2023-06-30 18:14:54,4,en,,2023-06-30 18:14:54,2023-06-30 17:38:22,,,,08c02c6d-f559-77c9-e062-18ebae0d19a6,1,1,N,N,Male,1991,,,,,,18135,3,1,Stadium,XXL,Intersport,,,,,,,,Hm,Vet ej,Vet inte,Nike,Adidas,Hm,Vet ej,Vet ej,Vet ej,Hm,Nike,Adidas,Större utbud,Bättre priser
20,2023-06-30 17:45:36,4,en,,2023-06-30 17:45:36,2023-06-30 17:38:31,,,,a14d92d2-e966-ca1f-6ddd-a666fc33e20d,1,1,N,N,Male,1985,,,,,,22652,3,1,Xxl,,,,,,,,,,Neomondo,Salomon,Civit,Civit,Vet,Ej,Nå,Inte,Hej,Och,Jag,Hej,Pris,Pris
21,2023-06-30 17:52:12,4,en,,2023-06-30 17:52:12,2023-06-30 17:38:34,,,,999f0d00-abba-546b-bf0f-39b42e6147df,1,1,N,N,Male,1976,,,,,,90320,3,1,Outnorth,Vet ej,,,,,,,,,Haglöfs,Vet ej,Vet inge mer,Asics,Under armour,Hoka,Monark,Trekk,Sjösala,Asics,Nike,Adidas,Outnorth,Sänka priser
22,2023-06-30 17:56:53,4,en,,2023-06-30 17:56:53,2023-06-30 17:38:45,,,,ce97747b-2e1d-3cac-b774-40bc9569d2a2,1,1,N,N,Male,1976,,,,,,2016,2,1,Sport1,,,,,,,,,,Bergans,Norønna,Amundsen,Nike,Adida,Asics,Fischer,Polar,Swix,Amundsen,Bjørn dæhlie,Nike,Vet ikke,Vet ikke
23,2023-06-30 18:15:33,4,en,,2023-06-30 18:15:33,2023-06-30 17:39:22,,,,005c5576-ea1a-7718-7c79-6177e24402ed,1,1,N,N,Female,1986,,,,,,21744,3,1,Stadium,Intersport,Xxl,Team sportia,Outnorth,,,,,,Fjällräven,Lundhags,Vet inte,Vet inte,Vet inte,Vet inte,Vet inte,Vet inte,Inte vet,Vet inte,Vet inte,Vet inte,"Bättre priser, bättre utbud",Vara rimliga arbetsgivare
24,2023-06-30 17:49:49,4,en,,2023-06-30 17:49:49,2023-06-30 17:39:29,,,,ed3dab25-db36-89f3-1d2a-9f164feb53b9,1,1,N,N,Female,,,,,,,41513,3,1,Intersport,,,,,,,,,,Nike,Hm,Stadium,Nike,Adidas,Hm,Nike,Adidas,Hm,Hm,Nike,Adidas,Bra priser,Bättre kvalite
25,2023-06-30 17:47:45,4,en,,2023-06-30 17:47:45,2023-06-30 17:39:30,,,,edabea01-dc1a-c88d-8b0e-de805d45359b,1,1,N,N,Male,1977,,,,,,21853,3,1,Xxl,Vet ej,,,,,,,,,Adidas,Peak performance,Vet ej,Adidas,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Adidas,Puma,Nike,Mer &#34vanliga&#34 kläder,Utöka sortiment av klöder
26,2023-06-30 17:55:43,4,en,,2023-06-30 17:55:43,2023-06-30 17:39:50,,,,f85e7157-ae0f-5184-7e58-4575875f42cc,1,1,N,N,Male,1971,,,,,,0562,2,1,Xxl,,,,,,,,,,Bergans,Fjellsport,Ingen,Adidas,Nike,Puma,Ingen,Ingen,Ingen,Bjørn Dæhlie,Kari Traa,Bergans,Har bredere tilbud innen fotball sport,Flere fotball utstyr
27,2023-06-30 17:51:43,4,en,,2023-06-30 17:51:43,2023-06-30 17:40:30,,,,8748d2a4-fc13-f7e6-68ab-e66347741764,1,1,N,N,Female,1991,,,,,,25248,3,1,Stadium,,,,,,,,,,Engelsons,Naturkompaniet,XXL,Stadium,Sportamore,Intersport,Stadium,Sportshopen,Intersport,HM,Zalando,Amazon,Mer skor och byxor anpassade efter friluftsliv,Vet ej
28,2023-06-30 18:01:33,4,en,,2023-06-30 18:01:33,2023-06-30 17:41:53,,,,d575891b-6ff4-a6a2-5514-bd5e14bc8fee,1,1,N,N,Male,1977,,,,,,3616,2,1,xxl,sport 1,intersport,sportsoutlet,milslukern,bull ski og kajakk,,,,,helly hansen,bergans,hoka,hoka,nike,adidas,garmin,polar,daehlie,bergand,helly hansen,nike,dette er de 2 jeg bruker mest så da handler det mest om pris og vareutvalg,personlige tilbud som medlem
29,2023-06-30 17:55:25,4,en,,2023-06-30 17:55:25,2023-06-30 17:43:22,,,,ca5cbdfd-c2c0-f529-7cf2-89779cab3a15,1,1,N,N,Male,1974,,,,,,1354,2,1,Sport1,Xxl,,,,,,,,,Norrøna,Bergans,Helly Hansen,Adidas,Nike,Bjørn Borg,Vet ikke,Vet ikke,Vet ikke,Adidas,Nike,Vet ikke,For dyrt hos Sport1.,Vet ikke
30,2023-06-30 17:59:14,4,en,,2023-06-30 17:59:14,2023-06-30 17:47:50,,,,5fa916da-971b-0166-89d5-2282911b6f0b,1,1,N,N,Female,1983,,,,,,5173,2,1,XXL,Sport 1,Intersport,Mildbrant,Fjellsport,Løpelabben,Sport outlet,Sport norge,,,Bergans,Norrønna,HH,Adidas,Nike,Puma,HH,Usikker,Usikker,Adidas,Nike,Bergans,Fortsatt lave priser.,Usikker.
31,2023-06-30 17:53:58,4,en,,2023-06-30 17:53:58,2023-06-30 17:48:20,,,,7edf9a80-ab8d-d3a1-ff8f-aef457264768,1,1,N,N,Female,1984,,,,,,0578,2,1,,,,,,,,,,,Xxl,Hm,Coop,Xxl,Hm,Coop,Hm,Xxl,Coop,Hm,Xxl,Coop,,Usikker
32,2023-06-30 18:02:44,4,en,,2023-06-30 18:02:44,2023-06-30 17:52:21,,,,f78440a2-80a3-95cc-a4ad-74afd7754b3c,1,1,N,N,Male,1965,,,,,,2150,2,1,Xxl,,,,,,,,,,Vet ikke,Vet ikke,Vet ikke,Vet ikke,Vet ikke,Vet ikke,Swix,Vet ikk,Vet ikke,Bergans,Helly hansen,Peak performance,Store størrelser,Ha størrelser som også går til oss som er store
33,2023-06-30 18:02:16,4,en,,2023-06-30 18:02:16,2023-06-30 17:55:05,,,,5d199264-7a42-db54-396b-a6321fe0faf8,1,1,N,N,Female,1974,,,,,,1405,2,1,Xxl,,,,,,,,,,Nike,Adidas,Vet ikke,Nike,Adidas,Ua,Vet ikke,Vet ikke,Vet ikke,Nike,Adidas,Ua,Mer utvalg,Vet ikke
34,2023-06-30 18:02:27,4,en,,2023-06-30 18:02:27,2023-06-30 17:55:34,,,,3c1df90c-ffbf-4917-3d03-cd36ab4f7cdb,1,1,N,N,Male,1975,,,,,,9046,2,1,,,,,,,,,,,vet ikke,vet ikke,vet ikke,nike,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,,vet ikke
35,2023-06-30 18:02:39,4,en,,2023-06-30 18:02:39,2023-06-30 17:56:08,,,,f0840533-3647-b40f-a43c-31afbeaed5d2,1,1,N,N,Male,1990,,,,,,8300,2,1,sport 1,,,,,,,,,,bra,1,12,sport1,nike,intersport,bra,11,aaae,bra,bra,11,brea,bra
36,2023-06-30 18:07:03,4,en,,2023-06-30 18:07:03,2023-06-30 17:58:32,,,,4c43c694-c0d2-a818-629b-f268d459017d,1,1,N,N,Male,1999,,,,,,1300,2,1,,,,,,,,,,,Vet ikke,Vet ikke,Vet ikke,Adidas,Nike,Nike,Vet ikke,Vet ikke,Vet ikke,Vet ikke,Vet ikke,Vet ikke,,Vet ikke
37,2023-06-30 18:18:58,4,en,,2023-06-30 18:18:58,2023-06-30 18:03:16,,,,645e21d8-09b3-68ff-7ed7-1575cf12e13f,1,1,N,N,Female,1988,,,,,,2080,2,1,Obs,Xxl,Stormberg,,,,,,,,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,vet ikke,Jeg har ikke handlet der så kan ikke uttale meg.,Vet ikke. Sist jeg kjøpte sportsutstyr søkte jeg spesifikt etter lilla joggesko og XXL dukket ikke opp blant søkefunnene med riktig farge.
38,2023-06-30 18:26:59,4,en,,2023-06-30 18:26:59,2023-06-30 18:03:55,,,,65987eaa-3c4f-768c-b9a5-4ab3316b3735,1,1,N,N,Female,1979,,,,,,4100,2,1,Sport outlet,Sport 1,Intersport,,,,,,,,Bergans,Kari traa,Jotunheim,Wilson,Smilofte,Vet ikke,Fitbit,DBS,Head,Bergans,Jotunheim,Nike,"At det blir billigere, og at det kommer CXL butikk nærmere meg enn sport outlet.",Vet ikke
39,2023-06-30 18:21:30,4,en,,2023-06-30 18:21:30,2023-06-30 18:04:26,,,,42220685-88b7-0804-038a-3209cb968a1f,1,1,N,N,Female,1996,,,,,,5580,2,1,XXL,Sport Outlet,,,,,,,,,Kari Traa,Skogsberg,Peek Performance,Nike,Adidas,Umbro,Elspark,Elsykkel,Fitbit,Nike,Puma,Peek Performance,Mer dyreutstyr,Ha enklere kjøpstilgang over nett
40,2023-06-30 18:11:17,4,en,,2023-06-30 18:11:17,2023-06-30 18:05:20,,,,ca43235e-02c6-36fd-6251-176825d0c0c5,1,1,N,N,Female,2002,,,,,,3075,2,1,,,,,,,,,,,xxl,hm,zalando,xxl,zalando,hm,xxl,zalando,nike,adidas,nike,xxl,,nærmere butikker
41,2023-06-30 18:16:52,4,en,,2023-06-30 18:16:52,2023-06-30 18:06:59,,,,ca830261-a8e2-e061-a26e-36a878fcaa82,1,1,N,N,Male,1990,,,,,,4027,2,1,sport 1,sport outlett,intersport,,,,,,,,Nike,Adidas,HM,Nike,Puma,Adidas,Peak Performance,Helly hansen,North Face,Nike,common Project,CK,Mer tilbud og større utvalg.,Nærmere butikk.
42,2023-06-30 18:36:43,4,en,,2023-06-30 18:36:43,2023-06-30 18:10:08,,,,083d7bd5-f0aa-b2e4-1cda-4f1675890a49,1,1,N,N,Female,1971,,,,,,0683,2,1,Xxl,Intersport,G-sport,Sport1,,,,,,,Er ikke opptatt av merker/husker ikke,Kvalitet,Komfortabelt å bruke,Komfortabelt,Brukervennlig,Pris,Pris,Brukervennlig,Komfortabelt,Komfortabelt,Brukervennlig,God passform,Jeg handler allerede en god del mer hos XXL enn enn Intersport så det er greit å variere litt å handle hos andre av og til.,De er bra nok som det er. De kunnne kanskje hatt litt mer i de ekstra kjempestore størrelsene eller de ekstra kjempe små størrelsene for oss og andre som har utfordringer med å finne størrelser som passer oss som er over/under gjennomsnittet størrelsesmessig.
43,2023-06-30 18:33:05,4,en,,2023-06-30 18:33:05,2023-06-30 18:12:40,,,,62c9f671-15a2-2f15-e87e-c2e2c477efea,1,1,N,N,Female,1973,,,,,,4633,2,1,Stormberg,Xxl,Sports outlet,,,,,,,,Stormberg,Dovrefjell,Mizuno,Mizuno,Nike,Adidas,Ingen,Vet ikke,Vet ikke,Stormberg,Adidas,Vet ikke,Stormberg har mer et ut-på-tur utvalg til lavere pris enn xxl.,Vet ikke
44,2023-06-30 18:34:56,4,en,,2023-06-30 18:34:56,2023-06-30 18:13:26,,,,34907114-0731-d5cb-b11b-45bb5fe8ed8e,1,1,N,N,Female,1980,,,,,,1870,2,1,XXL,,,,,,,,,,Timberland,Timberland,Timberland,Nike,Sweaty Betty,Puma,Ingen,Ingen,Ingen,Sweaty Betty,Nike,Adidas,Vet ikke,Jeg har egentlig ikke noe å klage på
45,2023-06-30 18:45:46,4,en,,2023-06-30 18:45:46,2023-06-30 18:15:21,,,,c75f36be-143f-9f84-7eb1-0274836dd559,1,1,N,N,Male,1985,,,,,,2409,2,1,xxl,.intersport.,sport 1,sportourlet,,,,,,,adidas,nike,puma,umbro,Under Armour,nike,biltema,samsung,xxl,hm,dreesmann,zalando,jeg handler mer hos xxl fordi den er billigste,vi trenger en xxl  butikk  i Elverum
46,2023-06-30 18:30:45,4,en,,2023-06-30 18:30:45,2023-06-30 18:16:55,,,,8182a7b6-2a51-1997-a3b9-93a928eb2862,1,1,N,N,Female,1995,,,,,,7048,2,1,Xxl,,,,,,,,,,Helly Hansen,Gortex,Husker ikke navnet,Asics,Adidas,Nike,Vet ikke,Vet ikke,Vet ikke,Helly Hansen,Asics,Husker ikke,Vet ikke,Kunne vært fint å ha oversikt på nettsiden  over hvor i butikken produktene er
47,2023-06-30 18:50:09,4,en,,2023-06-30 18:50:09,2023-06-30 18:25:34,,,,13af4255-22c3-6bfb-895a-7684f121d8cf,1,1,N,N,Female,1979,,,,,,4321,2,1,,,,,,,,,,,Stormberg,Berghans,Nike,Asics,Nike,Adidas,Samsung galaxy watch,Swift,Fitbit,Vet ikke,Vet ikke,Vet ikke,,Riktig størrelse i sko
48,2023-06-30 18:50:51,4,en,,2023-06-30 18:50:51,2023-06-30 18:39:39,,,,6cc9ebb3-7d1f-2532-efbc-dfe2e5f49445,1,1,N,N,Male,1967,,,,,,12733,3,1,XXL,Stadium,Intersport,Decathlon,,,,,,,Northface,Nike,Adidas,Adidas,Nike,Reebok,Adidas,Jordan,Nike,Adidas,Puma,Nike,bättre erbjudande,anpassade erbjudande med bra priser
49,2023-06-30 18:47:01,4,en,,2023-06-30 18:47:01,2023-06-30 18:39:43,,,,719b21f0-4d1b-eedd-bdff-15b02868a72a,1,1,N,N,Female,1997,,,,,,41263,3,1,Intersport,,,,,,,,,,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Stadium,Stadium outlet,Intersport,Vet ej,Vet ej
50,2023-06-30 19:22:12,4,en,,2023-06-30 19:22:12,2023-06-30 19:09:34,,,,a9262676-74cf-4411-0279-120d8251908b,1,1,N,N,Male,1974,,,,,,2614,2,1,Sport 1,Intersport,Xxl,,,,,,,,Fjellreven,Swemount,Helly Hansen,Adidas,Nike,Champion,Trek,Polar,Oakley,Adidas,Nike,Hookas,Mer utvalg av kjente merker,Selge mindre brask
51,2023-06-30 21:01:25,4,en,,2023-06-30 21:01:25,2023-06-30 20:45:41,,,,ca053155-7f05-df07-3d5a-052e120f97a0,1,1,N,N,Female,1968,,,,,,12452,3,1,stadium,,,,,,,,,,stadium,fjällräven,adidas,adidas,nike,puma,elan,Monark,XXL,HELLY HANSEN,ADIDAS,NIKE,LÄGRE PRISER,LÄGRE PRISER
52,2023-06-30 21:02:11,4,en,,2023-06-30 21:02:11,2023-06-30 20:45:49,,,,d997b216-0a17-5c95-af19-86bc567eef8c,1,1,N,N,Female,1981,,,,,,19546,3,1,Stadium,Intersport,Sportamer,Nike,Adidas,,,,,,Outhnorth,Intersport,Berras jakt och fiske,Stadium,Adidas,Nike,Sportamore,Stadium,Intersport,Stadium,Adidas,Nike,Mindre röriga butiker.,Bättre layout i butik.
53,2023-06-30 20:59:48,4,en,,2023-06-30 20:59:48,2023-06-30 20:46:24,,,,f7ee9f50-884e-6d95-d65f-abc5b2400bcb,1,1,N,N,Female,1989,,,,,,67142,3,1,Xxl,Stadium,,,,,,,,,Inget,Jakt intresserar mig inte,Nej,Adidas,Nike,Ccm,K2,Salomon,Annat,Rönnisch,Adidas,Annat,Xxl behöver jobba på en bättre företagskultur. Stadium överlägset i jämförelse.,Bli behagligare.
54,2023-06-30 20:57:16,4,en,,2023-06-30 20:57:16,2023-06-30 20:46:34,,,,e81c491a-f0ba-bc22-2415-7d37a04d73d1,1,1,N,N,Female,1974,,,,,,42534,3,1,,,,,,,,,,,vet ej,vet ej,vet ej,addidas,nike,vet ej,vet ej,vet ej,vet ej,vet ej,vet ej,vet ej,,Lägre pris
55,2023-06-30 20:57:28,4,en,,2023-06-30 20:57:28,2023-06-30 20:46:43,,,,5bc5ed92-ab1f-5bb6-fd9d-d9ee0dd52870,1,1,N,N,Female,1983,,,,,,60212,3,1,XXL,,,,,,,,,,XXL,Vet ej,Vet ej,Stadium,HM,XXL,Stadium,XXL,Intersport,HM,Stadium,XXL,Pris,Inte mycket
56,2023-06-30 20:56:56,4,en,,2023-06-30 20:56:56,2023-06-30 20:47:23,,,,3d44e265-0a24-5a1a-7c6a-d66f36ddc984,1,1,N,N,Female,2003,,,,,,58231,3,1,Intersport,Sport shopen,,,,,,,,,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Intersport,Vet ej
57,2023-06-30 20:58:11,4,en,,2023-06-30 20:58:11,2023-06-30 20:48:10,,,,4838f7b6-3c54-4164-00b9-c31316feff2d,1,1,N,N,Male,1957,,,,,,23376,3,1,,,,,,,,,,,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,,Vet ej
58,2023-06-30 21:16:31,4,en,,2023-06-30 21:16:31,2023-06-30 20:48:14,,,,24330740-b4fe-9f01-0b4f-3318e95a7597,1,1,N,N,Female,1969,,,,,,42144,3,1,xxl,team sportia,intersport,sportshoppen,Uden&#39s,,,,,,nike,adidas,vet ej,nike,puma,adidas,ingen aning,vet ej,icke veta,reebook,puma,adidas,ingen aning,ingen aning
59,2023-06-30 20:54:30,4,en,,2023-06-30 20:54:30,2023-06-30 20:48:18,,,,645bd105-0790-4915-630a-e5705603e4e0,1,1,N,N,Female,1997,,,,,,41718,3,1,Xxl,,,,,,,,,,Revolution race,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej,Vet ej
60,2023-06-30 20:56:48,4,en,,2023-06-30 20:56:48,2023-06-30 20:48:25,,,,585fa99a-ec5f-16ed-6795-9d744be4f54e,1,1,N,N,Male,1988,,,,,,6856,2,1,Intersport,Sport1,Xxl,,,,,,,,Bergans,Ullvang,Swix,Swix,Dæhlie,Adidas,Madshus,Swix,Rottefella,Nike,Swix,Adidas,Større utval,Større utval
61,2023-06-30 21:26:23,4,en,,2023-06-30 21:26:23,2023-06-30 20:48:25,,,,95cd87a8-ac5f-3274-f5a7-b3e6fb99297f,1,1,N,N,Female,1965,,,,,,9009,2,1,Xxl,,,,,,,,,,Vet ikke,Vet ikke,Vet ikke,Vet ikke,Vet ikke,Ok,Ok,Ok,Ok,Ok,Ok,Ok,Lavere priser,Vet ikke
62,2023-06-30 21:04:51,4,en,,2023-06-30 21:04:51,2023-06-30 20:48:29,,,,fd4a07c1-5b2d-9ee2-72ce-336152acbe1b,1,1,N,N,Male,1970,,,,,,38891,3,1,Xxl,Team sportia,Stadium,,,,,,,,Jägarbutiken,Xxl,Naturcompaniet,Xxl,Stadium,Inter sport,Xxl,Stadium,Stadium outlet,Stadium,Stadium outlet,Inter sport,Billigare pris,Bättre pris
63,2023-06-30 20:59:28,4,en,,2023-06-30 20:59:28,2023-06-30 20:48:34,,,,6044eb58-1af5-8941-7d57-df6fc56bf995,1,1,N,N,Male,1987,,,,,,8140,2,1,Xxl,,,,,,,,,,Nike,Adidas,Loki,Nike,Adidas,Pc,Lol,Isjaff,Månen,Nike,Adidas,Slutt,Vet ikke,Vet ikke
64,2023-06-30 21:02:10,4,en,,2023-06-30 21:02:10,2023-06-30 20:48:48,,,,c7cf1768-42c6-7db1-f667-23e4a64087f2,1,1,N,N,Female,1999,,,,,,25657,3,1,Stadium,,,,,,,,,,Vet ej,Vet,Vet ej,Gym,Träningskläder,Vet eh,Vet ej,Vet ej,Vet eh,Vet ej,Vet eh,Vet ej,Snyggare grejer,Vet ej
